,Placa,Modelo,Marca,AnoFabr.,Combustível,Chassi,Cor,Potência,Cilindro,Aquisição,Conservação,Situação,Combustivel,Renavam,Tipo,Motor,Caixa,Local,Loc.Manutenção,Km Atual,Data Compra,Data Venda,Nota de compra,Valor de compra,Nota de venda,Valor de venda,Nº Apólice
178,GMF7826,SPACEFOX TREND GII,VOLKSWAGEN,2014,Gasolina,9BWPB45ZXE4134754,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Gasolina,1075124791,PAS/AUTOMOVEL,CCR S23172,,,,55218,29/07/2014,,908955,43600,0,0,
179,GMF7843,ONIBUS ROMA 310,AGRALE,2014,Diesel,9BYC69A1AEC000096,BRANCA,225 CV,6,COMPRA,Ótimo,Ativa,Diesel,1017383704,PAS/ONIBUS,Y1A020448,,,,90324,22/09/2014,,54815,356300,0,0,
180,GMF7844,AMBULANCIA MARIMAR 415,MERCEDES BENZ,2014,Diesel,8AC906633EE089014,BRANCA,146CV,4,COMPRA,Ótimo,Ativa,Diesel,1006885592,ESP/CAMION/AMBULANCIA,651955W0027056,,,,27796,22/09/2014,,59787,225000,0,0,
181,GMF7852,AMAROK CD 4X4 SE,VOLKSWAGEN,2014,Diesel,WV1DD42H4EA049502,BRANCA,140 CV,4,COMPRA,Ótimo,Ativa,Diesel,1020811436,ESP/CAMIONETE/AB.CAB.DUPLA,CNF036891,,,,76570,10/09/2014,,368428,102000,0,0,
182,GMF7897,AMAROK CD 4X4 SE,VOLKSWAGEN,2014,Diesel,WV1DD42H2EA050857,BRANCA,140 CV,4,COMPRA,Ótimo,Ativa,Diesel,1031663948,ESP/CAMIONETE/AB.CAB.DUPLA,CNF-037090,,,,99905,01/02/2015,,379089,102000,0,0,
183,GMF7898,SPACEFOX TREND GII,VOLKSWAGEN,2014,Flex,9BWPB45Z6E4164222,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Flex,1031604321,PAS/AUTOMOVEL,CCR-S74176,,,,43017,01/02/2015,,950512,43600,0,0,
184,GMF7899,SPACEFOX TREND GII,VOLKSWAGEN,2014,Gasolina,9BWPB45Z6E4163216,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Gasolina,1031601730,PAS/AUTOMOVEL,CCR-S71557,,,,189691,01/02/2015,,950513,43600,0,0,
185,GMF7900,SPACEFOX TREND GII,VOLKSWAGEN,2014,Flex,9BWPB45Z6E4164138,BRANCA,104 CV,4,COMPRA,Ótimo,Ativa,Flex,1031597198,PAS/AUTOMOVEL,CCR-S74156,,,,60688,01/02/2015,,950511,43600,0,0,
186,GMF7901,MARCOPOLO VOLARE W9,MARCOPOLO,2014,Diesel,93PB40N31EC052255,BRANCA,165 CV,6,COMPRA,Ótimo,Ativa,Diesel,1031664936,PAS/ONIBUS,U1A006009,,,,48655,01/02/2015,,130227,231000,0,0,
187,GMF7911,AMAROK CD 4X4 SE,VOLKSWAGEN,2014,Diesel,WV1DD42H2EA055248,BRANCA,140 CV,4,COMPRA,Ótimo,Ativa,Diesel,1033559285,ESP/CAMIONETE/AB.CAB.DUPLA,CNF 039262,,,,68116,01/05/2015,,379121,102000,0,0,
